IDArticle,Article,ArticleCleaned,IDAr_Couleur,Code
243,HCAMO C1 ELECTRIC BLUE,HCAMO C1 ELECTRIC BLUE,0,AENC77
16245,HARRY P1 BRUT,HARRY P1 BRUT,0,AENP118A
17664,HARRY P1 BLEU VINTAGE ,HARRY P1 BLEU VINTAGE,0,AENP118A
18011,HARLIE C1 ROUGE,HARLIE C1 ROUGE,0,BHNC353
18010,HARLIE C1 NOIR,HARLIE C1 NOIR,0,BHNC353
17837,HARLIE C1 ECRU,HARLIE C1 ECRU,0,BHNC353
101,HANIE C1 VANILLE,HANIE C1 VANILLE,0,HANIE C1
87,HANIE C1 NUDE,HANIE C1 NUDE,0,HANIE C1
250,HALVA C1 ROSIER,HALVA C1 ROSIER,0,AENC75
229,HALVA C1 NOIR,HALVA C1 NOIR,0,AENC75
226,HALVA C1 BLANC,HALVA C1 BLANC,0,AENC75
17502,HAGENDA C1,HAGENDA C1,0,AENC350
17501,HAGENDA C1,HAGENDA C1,0,AENC350
16744,H-MILOU C1 BLUSH,H-MILOU C1 BLUSH,2062,BHNC189
18121,H-MILOU C1 BLANC OPTIQUE,H-MILOU C1 BLANC OPTIQUE,2062,BHNC189
18007,H-ETOILE C1 ECRU,H-ETOILE C1 ECRU,0,BHNC379
18006,H-ETOILE C1 BLUSH,H-ETOILE C1 BLUSH,0,BHNC379
18042,H-CONTRASTE C1 NOIR/ECRU,H-CONTRASTE C1 NOIR/ECRU,165,BHNC183
16737,H-CONTRASTE C1 ECRU/NOIR,H-CONTRASTE C1 ECRU/NOIR,165,BHNC183
17333,H-COLINE C1 NOIR,H-COLINE C1 NOIR,0,BHNC395
17332,H-COLINE C1 BLUSH,H-COLINE C1 BLUSH,0,BHNC395
16046,GWINA P1 STONE,GWINA P1 STONE,166,AENP31
16048,GWINA P1 NOIR,GWINA P1 NOIR,166,AENP31
479,GWINA P1 DOUBLE STONE,GWINA P1 DOUBLE STONE,166,AENP31
16253,GUILIA T1 VERT,GUILIA T1 VERT,0,AENT153
16258,GUILIA T1 ROSE,GUILIA T1 ROSE,0,AENT153
16256,GUILIA T1 MULTICOLOR,GUILIA T1 MULTICOLOR,0,AENT153
16254,GUILIA T1 CHOCO,GUILIA T1 CHOCO,0,AENT153
17380,GOLDIE D1 VANILLE,GOLDIE D1 VANILLE,0,AEND45A
17373,GOLDIE D1 NOIR,GOLDIE D1 NOIR,0,AEND45A
18014,GLORIA P2 NOIR,GLORIA P2 NOIR,0,BHNP217
18071,GLORIA P2 CEDRE ROUGE,GLORIA P2 CEDRE ROUGE,0,BHNP217
15610,GLORIA P1,GLORIA P1,0,BHNPA198
17317,GLORIA P1,GLORIA P1,0,BHNPA198
15668,GLORIA P1,GLORIA P1,0,BHNPA198
18072,GLORIA C1 ECRU,GLORIA C1 ECRU,0,BHNC385
18073,GLORIA C1 BLEU MARINE,GLORIA C1 BLEU MARINE,0,BHNC385
16218,GIULIA LUREX ROSE GOLD ,GIULIA LUREX ROSE GOLD,0,AENT083
16235,GIULIA LUREX PLISSE TOKYO,GIULIA LUREX PLISSE TOKYO,0,AENT083
16233,GIULIA LUREX GOLD FOIL,GIULIA LUREX GOLD FOIL,0,AENT083
17312,GANNY D1 ,GANNY D1,0,BHND347
17487,GANNY D1,GANNY D1,0,BHND347
12841,GAGATHA J1,GAGATHA J1,172,DNJ11Z
16335,GAGATHA J1,GAGATHA J1,172,DNJ11Z
813,GAGATHA J1,GAGATHA J1,172,DNJ11Z
480,GABIN P1 KAKI,GABIN P1 KAKI,157,AENP34
16330,GABIN P1,GABIN P1,157,AENP34
16332,GABIN P1,GABIN P1,157,AENP34
17050,GABBY R1,GABBY R1,0,YHNR262A
17049,GABBY R1,GABBY R1,0,YHNR262A
16409,FRANY P1 SAUGE,FRANY P1 SAUGE,0,AENP60
244,FRANY P1 BLEU MARINE,FRANY P1 BLEU MARINE,0,AENP60
254,FRANY P1 BLANC,FRANY P1 BLANC,0,AENP60
17774,FPOWI,FPOWI,0,BHNP200
17775,FPOWI,FPOWI,0,BHNP200
17776,FPOWI,FPOWI,0,BHNP200
17773,FPOWI,FPOWI,0,BHNP200
478,FPOWER SKINNY P1 ROUGE PHARE,FPOWER SKINNY P1 ROUGE PHARE,180,AENP30
16324,FPOWER SKINNY P1 ,FPOWER SKINNY P1,180,AENP30
16325,FPOWER SKINNY P1,FPOWER SKINNY P1,180,AENP30
16296,FPOWER SKINNY P1,FPOWER SKINNY P1,180,AENP30
16323,FPOWER SKINNY P1,FPOWER SKINNY P1,180,AENP30
16321,FPOWER SKINNY P1,FPOWER SKINNY P1,180,AENP30
17770,FPOWER SKINNY,FPOWER SKINNY,0,BHNP001
17769,FPOWER SKINNY,FPOWER SKINNY,0,BHNP001
17768,FPOWER SKINNY,FPOWER SKINNY,0,BHNP001
17767,FPOWER SKINNY,FPOWER SKINNY,0,BHNP001
17384,FOLIE R1 NOIR,FOLIE R1 NOIR,0,AENR271A
17360,FOLIE R1 CREME,FOLIE R1 CREME,0,AENR271A
16174,FLUNI C1 ,FLUNI C1,0,AENC078
16078,FLUNI C1,FLUNI C1,0,AENC078
17601,FLORENCE T1 NOIR,FLORENCE T1 NOIR,0,AENT224A
17599,FLORENCE T1 AMANDE,FLORENCE T1 AMANDE,0,AENT224A
17803,FLEURIA V1,FLEURIA V1,0,CENW001
18147,FELINE P1 OLIVIER ,FELINE P1 OLIVIER,0,BHNP226
18149,FELINE P1 DENIM BLEU WASHED ,FELINE P1 DENIM BLEU WASHED,0,BHNP226
16227,FELINE P1,FELINE P1,0,BHNP226
17772,FCOATY,FCOATY,0,BHNP198
17771,FCOATY,FCOATY,0,BHNP198
18020,FANNY P2 NOIR,FANNY P2 NOIR,0,BHNP016
18019,FANNY P2,FANNY P2,0,BHNP016
15771,FANNY P1,FANNY P1,0,BHNPA200
17469,FANNY P1,FANNY P1,0,BHNPA200
17178,EXIE P1 ECRU,EXIE P1 ECRU,0,AENP20
17118,EXIE P1 BLEU ELECTRIQUE ,EXIE P1 BLEU ELECTRIQUE,0,AENP20
17220,ESTA SH1 ROUGE ,ESTA SH1 ROUGE,0,AENB003 
16088,ESTA SH1 NOIR,ESTA SH1 NOIR,0,AENB003
17219,ESTA SH1 MOUTARD ,ESTA SH1 MOUTARD,0,AENB003 
17218,ESTA SH1 ECRU,ESTA SH1 ECRU,0,AENB003
17217,ESTA SH1 BLEU MARINE ,ESTA SH1 BLEU MARINE,0,AENB003 
15967,ERINDA P1 ECRU,ERINDA P1 ECRU,211,DNP10Z
831,ERINDA P1,ERINDA P1,211,DNP10Z
485,EPHIE P1 BLEU MARINE,EPHIE P1 BLEU MARINE,127,AENP40
17398,EPHIE P1 BLEU ELECTRIC,EPHIE P1 BLEU ELECTRIC,127,AENP40
17310,EPHEA SH1 MARRON,EPHEA SH1 MARRON,0,BHNB106
17311,EPHEA SH1 GRIS PERLE,EPHEA SH1 GRIS PERLE,0,BHNB106
18069,EPHEA P3 NOIR,EPHEA P3 NOIR,0,BHNP224
18068,EPHEA P3 GRIS PERLE,EPHEA P3 GRIS PERLE,0,BHNP224
18022,EPHEA P2 NOIR,EPHEA P2 NOIR,0,BHNP218
18021,EPHEA P2 GRIS PERLE,EPHEA P2 GRIS PERLE,0,BHNP218
18023,EPHEA J1 NOIR,EPHEA J1 NOIR,0,BHNJ345
18024,EPHEA J1 GRIS PERLE,EPHEA J1 GRIS PERLE,0,BHNJ345
18074,EPAL R2 NOIR,EPAL R2 NOIR,295,BHNR534
18075,EPAL R2 NAVY,EPAL R2 NAVY,295,BHNR534
18076,EPAL R2 ECRU,EPAL R2 ECRU,295,BHNR534
16147,ENOMI SH2 ,ENOMI SH2,0,AENB007
16271,ENOMI SH2,ENOMI SH2,0,AENB007
16270,ENOMI SH2,ENOMI SH2,0,AENB007
16216,ENOMI SH2,ENOMI SH2,0,AENB007
16272,ENOMI SH2,ENOMI SH2,0,AENB007
17314,EMMA J1,EMMA J1,0,BHNJ292
15741,EMMA J1,EMMA J1,0,BHNJ292
6281,EMMA J1,EMMA J1,486,BHNJ292
6266,EMMA J1,EMMA J1,486,BHNJ292
17357,EMARAH SH1,EMARAH SH1,0,AENB028
17358,EMARAH SH1,EMARAH SH1,0,AENB028
17980,ELYSEE R1 ROUGE/ROSE,ELYSEE R1 ROUGE/ROSE,0,BHNR516
17978,ELYSEE R1 NOIR/ECRU,ELYSEE R1 NOIR/ECRU,0,BHNR516
17977,ELYSEE R1 ECRU/NOIR,ELYSEE R1 ECRU/NOIR,0,BHNR516
17976,ELYSEE C1 NAVY,ELYSEE C1 NAVY,0,BHNC370
17973,ELYSEE C1 MASTIC,ELYSEE C1 MASTIC,0,BHNC370
17975,ELYSEE C1 ECRU,ELYSEE C1 ECRU,0,BHNC370
17308,ELYA J1,ELYA J1,0,BHNJ284
15738,ELYA J1,ELYA J1,0,BHNJ284
17876,ELOU D1 VERT DUR,ELOU D1 VERT DUR,0,AEND42A 
17846,ELOU D1 BEIGE,ELOU D1 BEIGE,0,AEND42A 
16798,ELORA V1,ELORA V1,2083,BHNW344
17468,ELORA V1,ELORA V1,2083,BHNW344
18025,ELODIE V1 VERT DUR,ELODIE V1 VERT DUR,0,BHNW360 
16027,ELODIE V1 ROSE,ELODIE V1 ROSE,0,BHNW360
17910,ELODIE V1 MOKA,ELODIE V1 MOKA,0,BHNW360 
18026,ELODIE V1 MENTHOL,ELODIE V1 MENTHOL,0,BHNW360
17632,ELODIE P1 VERT DUR,ELODIE P1 VERT DUR,0,BHNP014
16029,ELODIE P1 ROSE,ELODIE P1 ROSE,0,BHNP014
17676,ELODIE P1 MOKA,ELODIE P1 MOKA,0,BHNP014
18028,ELODIE P1 MENTHOL,ELODIE P1 MENTHOL,0,BHNP014
18030,ELOANE P2 STONE,ELOANE P2 STONE,0,BHNP018
18031,ELOANE P2 GRIS,ELOANE P2 GRIS,0,BHNP018
18032,ELOANE P2 BRUT,ELOANE P2 BRUT,0,BHNP018
18033,ELOANE JEAN P1 STONE,ELOANE JEAN P1 STONE,0,BHNP220
18130,ELOANE JEAN P1 NOIR,ELOANE JEAN P1 NOIR,0,BHNP220
18034,ELOANE JEAN P1 GRIS,ELOANE JEAN P1 GRIS,0,BHNP220
18035,ELOANE JEAN P1 BRUT,ELOANE JEAN P1 BRUT,0,BHNP220
18038,ELOANE D1 STONE,ELOANE D1 STONE,0,BHND359
18039,ELOANE D1 BRUT,ELOANE D1 BRUT,0,BHND359
28,ELLA T1 NOIR,ELLA T1 NOIR,122,DNC17Z
799,ELLA C1,ELLA C1,122,DNC17Z
17966,ELIF R1 VERT RIO,ELIF R1 VERT RIO,0,BHNR511
17965,ELIF R1 ELETRIC BLUE,ELIF R1 ELETRIC BLUE,0,BHNR511
17964,ELIF R1 CORAIL,ELIF R1 CORAIL,0,BHNR511
17967,ELIF R1 AUBERGINE,ELIF R1 AUBERGINE,0,BHNR511
17956,ELIF D1 VERT D'EAU,ELIF D1 VERT D'EAU,0,BHND354
17959,ELIF D1 CORAIL,ELIF D1 CORAIL,0,BHND354
17960,ELIF D1 A DETERMINER,ELIF D1 A DETERMINER,0,BHND354
317,ELIAS R1 ECETRIC BLUE,ELIAS R1 ECETRIC BLUE,0,AENR108
311,ELIAS R1 BLEU MARINE,ELIAS R1 BLEU MARINE,0,AENR108
16351,ELIAS R1 BLEU MAJORELLE,ELIAS R1 BLEU MAJORELLE,0,AENR108
306,ELARY R1 VERT GREEN,ELARY R1 VERT GREEN,0,AENR110
308,ELARY R1 BLEU MARINE,ELARY R1 BLEU MARINE,0,AENR110
17304,EDDA V1 ECRU,EDDA V1 ECRU,100,AENW29
677,EDDA V1,EDDA V1,100,AENW29
17895,EDAN R1 NUDE,EDAN R1 NUDE,0,BHNR497
17894,EDAN R1 NAVY,EDAN R1 NAVY,0,BHNR497
18133,DINAR C1 NAVY,DINAR C1 NAVY,0,BHNC387
18132,DINAR C1 ECRU,DINAR C1 ECRU,0,BHNC387
17581,DINAR C1,DINAR C1,0,AENC212A
17582,DINAR C1,DINAR C1,0,AENC212A
17612,DENTY R1 VERT,DENTY R1 VERT,0,AENR227A 
17613,DENTY R1 BLEU MARINE ,DENTY R1 BLEU MARINE,0,AENR227A 
17630,DENIS M1 BLEU MARINE ,DENIS M1 BLEU MARINE,0,BHNK086
16856,DENIS M1 BEIGE,DENIS M1 BEIGE,0,BHNK086
18048,DENIS K1 VIOLET ,DENIS K1 VIOLET,0,BHNK089
18049,DENIS K1 BLEU MARINE,DENIS K1 BLEU MARINE,0,BHNK089
18047,DENIS K1 BEIGE,DENIS K1 BEIGE,0,BHNK089
16293,DEBI C1,DEBI C1,0,AENC182A
16295,DEBI C1,DEBI C1,0,AENC182A
16294,DEBI C1,DEBI C1,0,AENC182A
17417,DEBBIE P1 ROUGE,DEBBIE P1 ROUGE,0,AENP95A
15968,DEBBIE P1 NOIR,DEBBIE P1 NOIR,0,AENP95A
17216,DEBBIE P1 BLEU MARINE ,DEBBIE P1 BLEU MARINE,0,AENP95A
17529,DEBBIE K1 ROUGE,DEBBIE K1 ROUGE,0,AENK52A 
17528,DEBBIE K1 BLEU MARINE ,DEBBIE K1 BLEU MARINE,0,AENK52A 
17845,DAILY P1 SKINNY NOIR,DAILY P1 SKINNY NOIR,0,AENP128A  
17663,DAILY P1 SKINNY CHARCOAL ,DAILY P1 SKINNY CHARCOAL,0,AENP128A  
16382,CRYSTAL R1 VERT,CRYSTAL R1 VERT,0,AENR163
16173,COQCINELLE C1 ,COQCINELLE C1,0,AENC076
16076,COQCINELLE C1,COQCINELLE C1,0,AENC076
16170,COBURLY C1 ,COBURLY C1,0,AENC077
16077,COBURLY C1,COBURLY C1,0,AENC077
16269,CLOWIS J1,CLOWIS J1,0,AENJ149
16267,CLOWIS J1,CLOWIS J1,0,AENJ149
16268,CLOWIS J1,CLOWIS J1,0,AENJ149
17281,CLEOPA J1 VANILLE,CLEOPA J1 VANILLE,0,AENJ114A
17740,CLEOPA J1 BLEU,CLEOPA J1 BLEU,0,AENJ114A
16854,CHILI C2 IMPRIME CREME ,CHILI C2 IMPRIME CREME,0,AENC400
17079,CHILI C2,CHILI C2,0,AENC400
17424,CESME R1 ORANGER ,CESME R1 ORANGER,0,AENR183A
17425,CESME R1 BLEU/BLANC,CESME R1 BLEU/BLANC,0,AENR183A
98,CEESSE C1 ROUGE FEU,CEESSE C1 ROUGE FEU,0,CEESSE C1
16851,CEESSE C1 ROUGE FEU,CEESSE C1 ROUGE FEU,0,AENC114A
16852,CEESSE C1 NOIR,CEESSE C1 NOIR,0,AENC114A
88,CEESSE C1 NOIR,CEESSE C1 NOIR,0,CEESSE C1
105,CEESSE C1 BLANC,CEESSE C1 BLANC,0,AENC114A
17064,CATHIE C1 PRUNE,CATHIE C1 PRUNE,0,AENC122A 
17063,CATHIE C1 KAKI,CATHIE C1 KAKI,0,AENC122A 
17271,CASH R1 LUREX ,CASH R1 LUREX,0,XENR361
17269,CASH R1 BLEU,CASH R1 BLEU,0,XENR361
17990,CARNABY R1 ROUGE,CARNABY R1 ROUGE,0,BHNR521
17986,CARNABY R1 NUDE,CARNABY R1 NUDE,0,BHNR521
17988,CARNABY R1 NOIR,CARNABY R1 NOIR,0,BHNR521
17327,CANON R1,CANON R1,0,BHNR269A
15666,CANON R1,CANON R1,0,BHNR269A
17300,CANELIA C1 SABLE,CANELIA C1 SABLE,0,BHNC340
18178,CANELIA C1 NOIR,CANELIA C1 NOIR,0,BHNC340
16318,BRISA L1,BRISA L1,0,BHNH001
17061,BRIANNA M1 SABLE,BRIANNA M1 SABLE,0,AENK4
17116,BRIANNA M1 KAKI,BRIANNA M1 KAKI,0,AENK4
17313,BOUCLETTE K1 ,BOUCLETTE K1,0,BHNH028
15729,BOUCLETTE K1,BOUCLETTE K1,0,BHNH028
17120,BOUBOU R1 IMPRIME ,BOUBOU R1 IMPRIME,0,AENR216A
16007,BOUBA R2,BOUBA R2,0,AENR216A
17048,BLURRY T2,BLURRY T2,0,AENR248A
17352,BLURRY R1,BLURRY R1,0,AENR248A
267,BISMA R2 VERT ZELLIGE,BISMA R2 VERT ZELLIGE,0,AENR128A
320,BISMA R2 NOIR,BISMA R2 NOIR,0,AENR128A
17447,BIRD C1 ROUGE,BIRD C1 ROUGE,0,XENC380
17446,BIRD C1 JAUNE ,BIRD C1 JAUNE,0,XENC380
17102,BETINE R1 BYZANCE ,BETINE R1 BYZANCE,0,AENR258A
17921,BETINE R1 BLEU VIOLET ,BETINE R1 BLEU VIOLET,0,AENR258A
18052,BEN M1 MARINE,BEN M1 MARINE,0,BHNH035
18051,BEN M1 CAMEL,BEN M1 CAMEL,0,BHNH035
17322,BELLE R1,BELLE R1,0,BHNR465
15726,BELLE R1,BELLE R1,0,BHNR465
17195,BAMBO C1 VANILLE,BAMBO C1 VANILLE,0,AENC177A
16228,BAMBO C1 MENTHOL,BAMBO C1 MENTHOL,0,AENC177A
17196,BAMBO C1 CORAIL,BAMBO C1 CORAIL,0,AENC177A
81,BAMBI C1 ROUGE ORANGE,BAMBI C1 ROUGE ORANGE,0,BAMBI C1
83,BAMBI C1 BLEU PETROLE,BAMBI C1 BLEU PETROLE,0,BAMBI C1
17519,BAGUETTE,BAGUETTE,0,AENXM008
17518,BAGUETTE,BAGUETTE,0,AENXM008
17517,BAGUETTE,BAGUETTE,0,AENXM008
16344,BABETTE L1 VERT SAPIN,BABETTE L1 VERT SAPIN,0,AENK50A
15933,BABETTE L1 CREME,BABETTE L1 CREME,0,AENK50A
16902,AZUR R1,AZUR R1,0,AENR410
17483,AROMAZA M1,AROMAZA M1,0,BHNH006
15863,AROMAZA M1,AROMAZA M1,0,BHNH006
17482,AROMAZA M1,AROMAZA M1,0,BHNH006
15864,ARCADIA M1 VERTIGE,ARCADIA M1 VERTIGE,0,BHNH007
17480,ARCADIA M1 NOIR,ARCADIA M1 NOIR,0,BHNH007
18062,ARCADIA M1 NAVY,ARCADIA M1 NAVY,0,BHNH007
17479,ARCADIA M1 BEIGE CLAIR,ARCADIA M1 BEIGE CLAIR,0,BHNH007
15862,ANOUKI M1,ANOUKI M1,0,BHNH005
17481,ANOUKI M1,ANOUKI M1,0,BHNH005
15941,ANGELA R1- VERT,ANGELA R1- VERT,0,AENR203Ä
15940,ANGELA R1- MAUVE,ANGELA R1- MAUVE,0,AENR203Ä
15717,ANGELA R1 MAUVE,ANGELA R1 MAUVE,0,AENR203A
18065,ANAYA M2 ROUGE,ANAYA M2 ROUGE,0,BHNH038
18064,ANAYA M2 NOIR,ANAYA M2 NOIR,0,BHNH038
17478,ANAYA M1,ANAYA M1,0,BHNH003
15860,ANAYA M1,ANAYA M1,0,BHNH003
17329,AMETHY R1,AMETHY R1,0,BHNR463
15722,AMETHY R1,AMETHY R1,0,BHNR463
17331,AMETHY C1,AMETHY C1,0,BHNC341
15721,AMETHY C1,AMETHY C1,0,BHNC341
17477,ALLIE M1,ALLIE M1,0,BHNH008
15893,ALLIE M1,ALLIE M1,0,BHNH008
17423,ALACATI MC VERT ,ALACATI MC VERT,0,AENU120A
17422,ALACATI MC ROSE,ALACATI MC ROSE,0,AENU120A
15718,AGNELLAT R1 VERT,AGNELLAT R1 VERT,0,AENR203A
17471,ACHAMEAU M1,ACHAMEAU M1,0,BHNH002
17470,ACHAMEAU M1,ACHAMEAU M1,0,BHNH002
15859,ACHAMEAU M1,ACHAMEAU M1,0,BHNH002
17472,ACARRY M1,ACARRY M1,0,BHNH001
15858,ACARRY M1,ACARRY M1,0,BHNH001
